"mcode","munnom","madr1","madr2","madr3","madr4","mcodpos","mcourriel","mweb","mtel","mfax","mdes","mgentile","regadm","divrec","mrc","mdatcons","mdatregi","msuperf","mpopul","datelec","elecmode","divter","maire","con1","con2","con3","con4","con5","con6","con7","con8","con9","con10","con11","con12","con13","con14","con15","con16","con17","con18","con19","con20","con21","con22","con23","con24","con25","con26","con27","con28","con29","con30","con31","con32","con33","con34","con35","con36","con37","con38","con39","con40","con41","con42","con43","con44","con45","con46","con47","con48","con49","con50","con51","con52","con53","con54","con55","con56","con57","con58","con59","con60","con61","con62","con63","con64","con65","con66","con67","con68","con69","con70","con71","con72","con73","con74","con75","dirgen","dirsecpub","tres","gref","sectres","polic","incen","loisir","trvpub","mesurg","urban","communic","permis","batim","nd"
"13025","Rivière-Bleue","32, rue des Pins E.","Rivière-Bleue","32, rue des Pins E.","Rivière-Bleue","G0L2B0","info@riviere-bleue.ca","www.riviere-bleue.ca","4188935559","4188935530","Municipalité","Riverain, aine*","Bas-Saint-Laurent (01)","Témiscouata (13)","MRC Témiscouata (130)","1975-06-14","","182.01","1234","2025-11-02","B","Sans division","Claude H Pelletier","Thérèse Beauregard","Véronique Bossé","Christiane Roy","Lyne Patry","Yves Gagné","Claudine Marquis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Claudie Levasseur","","","","Claudie Levasseur","","Gino Fortin","Steven Bouchard","Stéphane Lepage","Claudie Levasseur","Lise Beaulieu","","Poste Vacant","",""
"12072","Rivière-du-Loup","65, rue de l'Hôtel-de-Ville","Rivière-du-Loup","C.P. 37","Rivière-du-Loup","G5R3Y7","ville@villerdl.ca","www.villerdl.ca","4188676700","4188622817","Ville","Louperivois, oise*","Bas-Saint-Laurent (01)","Rivière-du-Loup (12)","MRC Rivière-du-Loup (120)","1998-12-30","","140.063","20065","2025-11-02","B","District","Mario Bastille","Carl Thériault","André Beaulieu","Edith Samson","Chantal Amstad","Nelson Lepage","Steeve Drapeau","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Denis Lagacé","","Jacques Moreau","Desjardins Caroline","","","Éric Bérubé","Benoît Ouellet","","Éric Bérubé","","Pascal Tremblay","","",""
"94215","Rivière-Éternité","418, rue Principale","Rivière-Éternité","418, rue Principale","Rivière-Éternité","G0V1P0","municipalite@riviere-eternite.com","www.riviere-eternite.com","4182722860","4185443085","Municipalité","Éternitois, oise*","Saguenay--Lac-Saint-Jean (02)","Le Saguenay-et-son-Fjord (94)","MRC Le Fjord-du-Saguenay (942)","1974-07-20","","528.514","405","2025-11-02","B","Sans division","Rémi Gagné","Jacynthe Savard","Jean Bergeron","Magella Pelletier","Isabelle Gagnon","Steeve Pelletier","Sylvain Boudreault","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sandra Côté","","","","Sandra Côté","","","","","Sandra Côté","","","","Jérôme Durocher",""
"89010","Rivière-Héva","740, route Saint-Paul N.","Rivière-Héva","C.P. 60","Rivière-Héva","J0Y2H0","nsavard@mun-r-h.com","www.riviere-heva.com","8197353521","8197354251","Municipalité","Hévarivois, oise*","Abitibi-Témiscamingue (08)","La Vallée-de-l'Or (89)","MRC La Vallée-de-l'Or (890)","1982-01-01","","492.882","1499","2025-11-02","B","Sans division","Chantal Thibault","Maurice Mercier","Noël Beaulé","Yvon Charette","Luc Richard","Robert Paquin","Jean-François Baril","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nathalie Savard","","","","Nathalie Savard","","Maurice Mercier","","","Nathalie Savard","Julien Tardy-Laporte","","","",""
"14065","Rivière-Ouelle","133, route 132","Rivière-Ouelle","133, route 132","Rivière-Ouelle","G0L2C0","info@riviereouelle.ca","www.riviereouelle.ca","4188563829","0000000000","Municipalité","Rivelois, oise*","Bas-Saint-Laurent (01)","Kamouraska (14)","MRC Kamouraska (140)","1855-07-01","","147.86","997","2025-11-02","B","Sans division","Louis-George Simard","Rémi Faucher","Léo-Paul Thibault","Yves Martin","Marie Dubois","Gilles Martin","Lorraine Demers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nancy Fortin","","","","","","Christian Gagnon","","","Nancy Fortin","","","","Janie Roy-Mailloux",""
"79037","Rivière-Rouge","25, rue L'Annonciation S.","Rivière-Rouge","25, rue L'Annonciation S.","Rivière-Rouge","J0T1T0","greffe@riviere-rouge.ca","www.riviere-rouge.ca","8192752929","8192753676","Ville","Riverougeois, oise*","Laurentides (15)","Antoine-Labelle (79)","MRC Antoine-Labelle (790)","2002-12-18","","499.635","4623","2025-11-02","B","District","Denis Lacasse","Daniel Forget","Pierre Alexandre(PA) Morin","Gilbert Therrien","Alain Otto","Claude Paradis","Sébastien Bazinet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lucie Bourque ","","","Katia Morin","","","Sylvain Charette","","Michel Robidoux","","","","","",""
"98050","Rivière-Saint-Jean","434, rue Saint-Jean","Rivière-Saint-Jean","434, rue Saint-Jean","Rivière-Saint-Jean","G0G2N0","magpiest-jean@globetrotter.net","www.rivieresaintjean-magpie.com","4189492464","4189492489","Municipalité","Jeanriverain, aine*","Côte-Nord (09)","Minganie-Basse-Côte-Nord (98)","MRC Minganie (981)","1966-01-01","","743.349","215","2025-11-02","B","Sans division","Josée Brunet","Alex Beaudin","Lola Lebrasseur","Normand Dufour","Liane Beaudin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Karine Chouinard","","","","Karine Chouinard","","","","","Karine Chouinard","","","Marina Boudreau","",""
"91025","Roberval","851, boulevard Saint-Joseph","Roberval","851, boulevard Saint-Joseph","Roberval","G8H2L6","vroberval@roberval.ca","www.roberval.ca","4182750202","4182755031","Ville","Robervalois, oise*","Saguenay--Lac-Saint-Jean (02)","Le Domaine-du-Roy (91)","MRC Le Domaine-du-Roy (910)","1976-12-23","","202.462","9885","2025-11-02","B","Sans division","Serge Bergeron","Pascal Gagnon","Esther St-Pierre","Gaston Langevin","Nicole Bilodeau","Germain Maltais","Claudie Laroche","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nathalie Samson","","Nancy Boutin","Luc R. Bouchard","","","Guy Mailhiot","Carol Martel","Jean-Luc Gagnon","Nathalie Samson","","","Michel Ouellet","",""
"88010","Rochebaucourt","20, rue du Chanoine-Girard","Rochebaucourt","20, rue du Chanoine-Girard","Rochebaucourt","J0Y2J0","muniroche@cableamos.com","www.mun-rochebaucourt.ca","8197542083","8197545417","Municipalité","Rochebaucourtois, oise","Abitibi-Témiscamingue (08)","Abitibi (88)","MRC Abitibi (880)","1983-01-01","","184.912","135","2025-11-02","B","Sans division","Alain Trudel","Sylvie Leclerc","Christiane Blouin","Marc Antoine Pelletier","Darquise Richard","Louise Morin","Charles Beauchemin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nathalie Lyrette","","","","Nathalie Lyrette","","","","","","","","","",""
"87015","Roquemaure","15 , rue Raymond  E.","Municipalité de Roquemaure","15 , rue Raymond  E.","Municipalité de Roquemaure","J0Z3K0","dg.roquemaure@mrcao.qc.ca","roquemaure.ao.ca/fr/","8197876311","8197876383","Municipalité","Roquemaurien, ienne","Abitibi-Témiscamingue (08)","Abitibi-Ouest (87)","MRC Abitibi-Ouest (870)","1952-01-01","","153.973","418","2025-11-02","B","Sans division","Rachel Alarie","Chantal Mainville","Josée Chrétien","Lucie Gravel","Adrien Paradis","Robert Tailleur","Landry Fernand","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","France Pelletier","","","","","","","Kelly Plourde","","Léo Plourde","","","Jean-Guy Hébert","",""
"73020","Rosemère","100, rue Charbonneau","Rosemère","100, rue Charbonneau","Rosemère","J7A3W1","info@ville.rosemere.qc.ca","www.ville.rosemere.qc.ca","4506213500","4506217601","Ville","Rosemèrois, oise*","Laurentides (15)","Thérèse-De Blainville (73)","MRC Thérèse-De Blainville (730)","1947-01-01","1958-02-06","12.179","14516","2025-11-02","B","Sans division","Eric Westram","Marie-Elaine Pitre","Carla Brown","Stéphanie Nantel","René Villeneuve","Melissa Monk","Philip Panet-Raymond","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Guy Benedetti","","Justine Asselin","Catherine Blais-Adam","","","","Claude Guérin","Simon Coulombe","Guy Benedetti","","Daniel Grenier","Vincent Langevin","",""
"55037","Rougemont","61, chemin de Marieville","Rougemont","61, chemin de Marieville","Rougemont","J0L1M0","info@rougemont.ca","www.rougemont.ca","4504693790","4504690309","Municipalité","Rougemontois, oise*","Montérégie (16)","Rouville (55)","MRC Rouville (550)","2000-01-26","","44.393","2840","2025-11-02","B","District","Guy Adam","Jeannot Alix","Marielle Farley","Éric Fortin","Mario Côté","Pierre Dion","Isabelle Robert","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Kathia Joseph","","","","Kathia Joseph","","Patrick Brodeur","Bruno Larose","Jean-François Bienvenue","Patrick Brodeur","","Kathia Joseph","Stéphane Bibeault","Stéphane Bibeault",""
"86042","Rouyn-Noranda","100, rue Taschereau E.","Rouyn-Noranda","C.P. 220","Rouyn-Noranda","J9X5C3","info@rouyn-noranda.ca","www.ville.rouyn-noranda.qc.ca","8197977110","8197977108","Ville","Rouynorandien, ienne*","Abitibi-Témiscamingue (08)","Rouyn-Noranda (86)","","2002-01-01","","6483.71","43092","2025-11-02","B","District","Diane Dallaire","Daniel Camden","Sylvie Turgeon","Guillaume Beaulieu","Claudette Carignan","Réal Beauchamp","Daniel Bernard","Yves Drolet","Sébastien Côté","Samuelle Ramsay-Houle","Cédric Laplante","Benjamin Tremblay","Stéphane Girard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","François Chevalier","Luc Tremblay","Hélène Piuze","Angèle Tousignant","","Luc Tremblay","Stéphane Royer","Anne-Marie Bergeron","Hélène Piuze","Luc Tremblay","","Anne-Marie Nadeau","Caroline Gaudreau","",""
"48015","Roxton","216, rang Sainte-Geneviève","Roxton Falls","216, rang Sainte-Geneviève","Roxton Falls","J0H1E0","info@cantonderoxton.qc.ca","www.cantonderoxton.qc.ca","4505482500","4505482412","Canton","Roxtonois, oise*","Montérégie (16)","Acton (48)","MRC Acton (480)","1855-07-01","","149.855","1128","2025-11-02","B","Sans division","Stéphane Beauchemin","Pascal Richard","Stéphane Martin","Stéphane Beauregard","François Légaré","François Gastonguay","Éric Beauregard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Caroline Choquette","","","","Caroline Choquette","","","","Mario Lafontaine","","","","Benoit Provost","",""
"48010","Roxton Falls","26, rue du Marché","Roxton Falls","26, rue du Marché","Roxton Falls","J0H1E0","roxton@roxtonfalls.ca","www.roxtonfalls.ca","4505485790","0000000000","Village","Roxtonnois, oise*","Montérégie (16)","Acton (48)","MRC Acton (480)","1863-01-01","","5.098","1356","2025-11-02","B","Sans division","Jean-Marie Laplante","Daniel Roy","Jonathan Bédard","Michel Massé","Lynda Cusson","Mélanie Valois","Pierre Larivière","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Julie Gagné","","","","Julie Gagné","","Guy Cusson","","Guy Cusson","Julie Gagné","","Julie Gagné","Vincent Cordeau","",""
"47047","Roxton Pond","901, rue Saint-Jean","Roxton Pond","901, rue Saint-Jean","Roxton Pond","J0E1Z0","infomun@roxtonpond.ca","www.roxtonpond.ca","4503726875","4503721205","Municipalité","Roxtonais, aise*","Estrie (05)","La Haute-Yamaska (47)","MRC La Haute-Yamaska (470)","1997-12-17","","103.131","4393","2025-11-02","B","District","Pierre Fontaine","André Côté","Christiane Choinière","Serge Bouchard","Pascal Lamontagne","Sylvain Hainault","Nathalie Simard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","François Giasson","","","","François Giasson","","Stéphane Dufresne","","Richard Breton","François Giasson","","","Vickie Dufresne","",""
"95010","Sacré-Coeur","88, rue Principale N.","Sacré-Coeur","88, rue Principale N.","Sacré-Coeur","G0T1Y0","info@sacre-coeur.ca","www.sacre-coeur.ca","4182364621","4182369144","Municipalité","Sacré-Coeurois, oise*","Côte-Nord (09)","La Haute-Côte-Nord (95)","MRC La Haute-Côte-Nord (950)","1973-06-13","","341.083","1761","2025-11-02","B","Sans division","Lise Boulianne","Nada Deschênes","Marie-Chantal Dufour","Valérie Dufour","Guillaume Lavoie","Janic Boisvert","Poste Vacant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Jeannot Lepage","","","","Jeannot Lepage","","Yves Gauthier","","Maxime Gauthier","Jeannot Lepage","","","Maxime Gauthier","",""
"31130","Sacré-Coeur-de-Jésus","4118, route route 112","Sacré-Coeur-de-Jésus","4118, route route 112","Sacré-Coeur-de-Jésus","G0N1G0","info@sacrecoeurdejesus.qc.ca","www.sacrecoeurdejesus.qc.ca","4184273447","4184274774","Paroisse","Sacré-Coeurin, ine*","Chaudière-Appalaches (12)","L'Amiante (31)","MRC Les Appalaches (310)","1902-12-05","","105.002","544","2025-11-02","B","Sans division","Guy Roy","André Giguère","Jason Nadeau","François Paré","Alain Faucher","Valmond Lessard","Stéphane Paré","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sylvie Mercier","","","","Sylvie Mercier","","","","Marquis Grenier","Marie-France Létourneau","","","Steve Breton","",""
"94068","Saguenay","201, rue Racine E.","Chicoutimi","C.P. 8060","Chicoutimi","G7H5B8","info@ville.saguenay.qc.ca","ville.saguenay.ca","4186983000","4185414545","Ville","Saguenéen, enne*","Saguenay--Lac-Saint-Jean (02)","Le Saguenay-et-son-Fjord (94)","","2002-02-18","","1280.391","147535","2025-11-02","B","District","Julie Dufour","Jimmy Bouchard","Claude Bouchard","Michel Thiffault","Kevin Armstrong","Carl Dufour","Jean-Marc Crevier","Serge Gaudreault","Mireille Jean","Michel Tremblay","Jacques Cleary","Marc Bouchard","Michel Potvin","Raynald Simard","Jean Tremblay","Martin Harvey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Jean-François Boivin","Denis Boucher","Christine Tremblay","Caroline Dion","","Denis Boucher","Carol Girard","","Laval Claveau","","","Jeannot Allard","","",""
"17015","Saint-Adalbert","15, rue du Collège","Saint-Adalbert","15, rue du Collège","Saint-Adalbert","G0R2M0","mstadalb@globetrotter.net","www.saintadalbert.qc.ca","4183565271","4183565317","Municipalité","Saint-Adalbertois, oise*","Chaudière-Appalaches (12)","L'Islet (17)","MRC L'Islet (170)","1911-08-26","","218.825","499","2025-11-02","B","Sans division","René Laverdière","Marjolaine Leblanc","Vanessa Chouinard","France Thibodeau","Simon Bourgault","Véronique Côté","Catherine Bilodeau","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Magguy Mathault","","","","Magguy Mathault","","Richard Gauvin","","Normand Caron","","","","","",""
"08030","Saint-Adelme","138, rue Principale","Saint-Adelme","138, rue Principale","Saint-Adelme","G0J2B0","st-adelme@lamatanie.ca","www.municipalite.st-adelme.ca","4187334044","4187334111","Paroisse","Saint-Adelmois, oise*","Bas-Saint-Laurent (01)","Matane (08)","MRC La Matanie (080)","1933-09-09","","102.354","518","2025-11-02","B","Sans division","Josée Marquis","Jean-Luc Bérubé","Isabelle Truchon","Yanik Levasseur","Johanne Thibault","Raphaël Helgerson-Gendron","Cynthia D'Astous","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Annick Hudon","","","","Annick Hudon","","Jimmy Marceau","","Jocelyn Ouellet","Annick Hudon","","","Laurie Savard","Laurie Savard",""
"35015","Saint-Adelphe","150, rue Baillargeon","Saint-Adelphe","150, rue Baillargeon","Saint-Adelphe","G0X2G0","st-adelphe@regionmekinac.com","www.st-adelphe.qc.ca","4183225721","4183225434","Paroisse","Adelphien, ienne*","Mauricie (04)","Mékinac (35)","MRC Mékinac (350)","1891-10-19","","138.889","972","2025-11-02","B","Sans division","Paul Labranche","Denis Bordeleau","Normand Cossette","Nathalie Lévesque","Roman Pokorski","Suzanne Tessier","Claude Thiffault","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Daniel Bacon","","","","Daniel Bacon","","Christian Paré","Denis Savard","","Daniel Bacon","","","Jean-Philippe Drolet","",""
"77065","Saint-Adolphe-d'Howard","1881, chemin du Village","Saint-Adolphe-d'Howard","1881, chemin du Village","Saint-Adolphe-d'Howard","J0T2B0","info@stah.ca","www.stah.ca","8193272044","8193272282","Municipalité","Adolphin, ine*","Laurentides (15)","Les Pays-d'en-Haut (77)","MRC Les Pays-d'en-Haut (770)","1883-01-01","","149.034","3820","2025-11-02","B","District","Claude Charbonneau","Meighen Vaillancourt-Campeau","Derek Dagenais-Guy","Line Légaré","Daniel Millette","Eugénie Auger","Bryan Dunaj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LaBarre Stéphane","","","Maria Eugenia  Valenzuela","","","Daniel Audet","Alex Renaud","Simon Prévost","Daniel Audet","","","","",""
"40010","Saint-Adrien","1589, rue Principale","Saint-Adrien","1589, rue Principale","Saint-Adrien","J0A1C0","municipalite@st-adrien.com","www.st-adrien.com","8195701380","8198280442","Municipalité","Adriennois, oise*","Estrie (05)","Asbestos (40)","MRC Les Sources (400)","1879-01-01","","98.636","549","2025-11-02","B","Sans division","Pierre Therrien","Claude Dupont","Richard Viau","Onil Giguère","Pauline Dumoulin","Isabelle Harmegnies","Francis Picard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Maryse Ducharme","","","","Maryse Ducharme","","","","Dany Guillemette","Pierre Therrien","","","","",""
"31095","Saint-Adrien-d'Irlande","152, rue Municipale","Saint-Adrien-d'Irlande","152, rue Municipale","Saint-Adrien-d'Irlande","G0N1M0","dg@stadriendirlande.ca","stadriendirlande.ca","4183352585","4183354040","Municipalité","Adrienirlandois, oise*","Chaudière-Appalaches (12)","L'Amiante (31)","MRC Les Appalaches (310)","1873-01-01","","53.015","409","2025-11-02","B","Sans division","Jessika Lacombe","Rock Côté","André Mercier","Mélissa Turgeon","Alex Vachon","Carl Croteau","Marina Lemay","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Ghislaine Leblanc","","","","Ghislaine Leblanc","","","","Christian Tanguay","","","Ghislaine Leblanc","Dominic Paradis","",""
"33045","Saint-Agapit","1080, avenue Bergeron","Saint-Agapit","1080, avenue Bergeron","Saint-Agapit","G0S1Z0","info@st-agapit.qc.ca","www.st-agapit.qc.ca","4188884620","4188884791","Municipalité","Agapitois, oise*","Chaudière-Appalaches (12)","Lotbinière (33)","MRC Lotbinière (330)","1979-04-14","","64.187","4530","2025-11-02","B","District","Yves Gingras","Manon Provencher","Marc-Antoine Drouin","Sylvain Vidal","Micheline Beaudet","Pierre Audesse","Bernard Breton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Claude Fortin","","","","Claude Fortin","","Mathieu Bergeron","Patrice Boucher","","Claude Fortin","","","Claude Fortin","",""
"53015","Saint-Aimé","398, montée de Sainte-Victoire","Saint-Aimé","398, montée de Sainte-Victoire","Saint-Aimé","J0G1K0","direction@saintaime.qc.ca","www.saintaime.qc.ca","4507882737","4507883337","Municipalité","Aimérois, Aiméroise","Montérégie (16)","Le Bas-Richelieu (53)","MRC Pierre-De Saurel (530)","1855-07-01","","62.431","476","2025-11-02","B","Sans division","Denis Benoit","Marie-Soleil Beauregard","Patrick Godin","Patrick Boisselle","Jacques Desrosiers","Julie L'Homme","Sylvain Boisselle","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Karine Lussier","","","","Karine Lussier","","","","","","","","Mathieu Brunelle Descheneaux","",""
"15030","Saint-Aimé-des-Lacs","119, rue Principale","Saint-Aimé-des-Lacs","119, rue Principale","Saint-Aimé-des-Lacs","G0T1S0","info@saintaimedeslacs.ca","www.saintaimedeslacs.ca","4184392229","4184391475","Municipalité","Aimélacois, oise*","Capitale-Nationale (03)","Charlevoix-Est (15)","MRC Charlevoix-Est (150)","1950-01-01","","97.278","1124","2025-11-02","B","Sans division","Claire Gagnon","Thomas-Louis Thivierge","Marco Lavoie","Monique Gravel","Danick Harvey","Rémi Simard","James Dufour","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Suzanne Gaudreault","","","","Suzanne Gaudreault","","Daniel Boies","","","Suzanne Gaudreault","","","","",""
"79022","Saint-Aimé-du-Lac-des-Îles","871, chemin Diotte","Saint-Aimé-du-Lac-des-Îles","871, chemin Diotte","Saint-Aimé-du-Lac-des-Îles","J0W1J0","dg@saint-aime-du-lac-des-iles.ca","www.saint-aime-du-lac-des-iles.ca","8195972047","8195972554","Municipalité","Aimélois, oise","Laurentides (15)","Antoine-Labelle (79)","MRC Antoine-Labelle (790)","2006-01-01","","181.93","809","2025-11-02","B","Sans division","Luc Diotte","Audrey Blondin-Lebel","Danielle Joly","Gilles Dion","Marc Champagne","Mélanie Lampron","André Benoit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nancy Carpentier","","","","Nancy Carpentier","","","","","","","","","Sylvie Bergeron",""
"34097","Saint-Alban","241, rue Principale","Saint-Alban","241, rue Principale","Saint-Alban","G0A3B0","dg@st-alban.qc.ca","www.st-alban.qc.ca","4182688026","4182685073","Municipalité","Albanois, oise*","Capitale-Nationale (03)","Portneuf (34)","MRC Portneuf (340)","1991-12-31","","159.737","1213","2025-11-02","B","Sans division","Deny Lépine","Christian Caron","Émilie Garneau","Francis Marcotte","Denis Piché","Julie Quintin","Carmen Marquis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Vincent Lévesque Dostie","","","","Vincent Lévesque Dostie","","","Anick Dion","","","","","Blouin Étienne","",""
"39085","Saint-Albert","1245, rue Principale","Saint-Albert","1245, rue Principale","Saint-Albert","J0A1E0","stalbert@munstalbert.ca","www.munstalbert.ca","8193533300","8193533313","Municipalité","Albertois, oise*","Centre-du-Québec (17)","Arthabaska (39)","MRC Arthabaska (390)","1864-01-01","","70.277","1734","2025-11-02","B","Sans division","Poste Vacant","Dominique Poulin","François Gosselin","Jean-Philippe Bibeau","Nicolas Labbé","Francis Lacharité","Diane Kirouac","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Suzanne Crête","","","","Suzanne Crête","","","","","Suzanne Crête","","","Clément Paquet","",""
"56055","Saint-Alexandre","453, rue Saint-Denis","Saint-Alexandre","453, rue Saint-Denis","Saint-Alexandre","J0J1S0","dg@saint-alexandre.ca","www.saint-alexandre.ca","4503466641","4503460538","Municipalité","Alexandrin, ine*","Montérégie (16)","Le Haut-Richelieu (56)","MRC Le Haut-Richelieu (560)","1988-09-17","","75.986","2675","2025-11-02","B","Sans division","Yves Barrette","Julie Vadeboncoeur","Stephane Vézina","Anne-Sylvie Forney","Florent Raymond","Marie-Eve Denicourt","Jean-François Berthiaume","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Marc-Antoine Lefebvre","","","","Marc-Antoine Lefebvre","","Benoit Brodeur","Anne Tremblay","Yan Robitaille","Marc-Antoine Lefebvre","","Odile Gauvin","Louise Nadeau","",""
"14035","Saint-Alexandre-de-Kamouraska","629, route 289","Saint-Alexandre-de-Kamouraska","629, route 289","Saint-Alexandre-de-Kamouraska","G0L2G0","finances@stalexkamouraska.com","www.stalexkamouraska.com","4184952440","4184952659","Municipalité","Alexandrin, ine*","Bas-Saint-Laurent (01)","Kamouraska (14)","MRC Kamouraska (140)","1855-07-01","","117.13","2292","2025-11-02","B","Sans division","Anita Ouellet - Castonguay","Simon Vaillancourt","Marc Levesque","Cydia Beaulieu","Patrick Ouellet","Alexandre Lefrançois","Johanne Bernier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Armand Comeau","","","","Armand Comeau","","Robin Laplante","Rosalie Demers","Jacques Ouellet","Armand Comeau","","","Yolaine Lebel","",""
"07065","Saint-Alexandre-des-Lacs","17, rue de l'Église","Saint-Alexandre-des-Lacs","17, rue de l'Église","Saint-Alexandre-des-Lacs","G0J2C0","stalexandre@mrcmatapedia.qc.ca","www.saintalexandredeslacs.com","4187783532","4187781315","Paroisse","Alexandrien, ienne*","Bas-Saint-Laurent (01)","La Matapédia (07)","MRC La Matapédia (070)","1965-01-01","","91.551","275","2025-11-02","B","Sans division","Nelson Pilote","Réal Roy","Gilbert Leclerc","Rachid Aniss","Cécile St-Amand","Marcel Pilote","François Pilote","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Caroline Savoie","","","","Caroline Savoie","","","","","","","","Patrick Labelle","",""
"63023","Saint-Alexis","258, rue Principale, Loc. 100","Saint-Alexis","258, rue Principale, Loc. 100","Saint-Alexis","J0K1T0","info@st-alexis.com","www.st-alexis.com","4508397277","0000000000","Municipalité","Alexinois, oise*","Lanaudière (14)","Montcalm (63)","MRC Montcalm (630)","2012-12-19","","43.152","1398","2025-11-02","B","Sans division","Michel Ricard","Guylaine Perreault","Catherine Venne","Sébastien Ricard","Myriam Arbour","Chantal Robichaud","Danny Quesnel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chantal Duval","","","","Chantal Duval","","","Martine Parent","Dominique Mailhot","Chantal Duval","","","Gaétan Hudon","",""
